content,0,24,48,72,96,120,144,168,192,216,240,264,288,312,336,360
MSA25,20.074,14.99,142.2595,381.3435,472.315,573.559,527.8455,540.0765,576.94,555.5465,510.068,478.4135,506.433,512.666,485.317,498.423
MSA26,25.232,14.8085,111.95,465.688,796.8595,810.018,890.6735,995.7255,868.6485,798.9545,860.326,907.3865,837.1885,788.072,898.4415,867.009
MSA27,18.2605,36.621,137.004,580.8665,926.3555,917.658,841.262,874.774,879.7475,783.4645,821.3275,817.906,845.246,750.5815,730.3685,732.883
MSA28,22.0905,37.3925,134.476,578.762,989.993,896.736,853.951,880.3175,896.9645,838.333,840.7845,822.641,841.7015,793.442,771.8395,764.0355
MSA29,20.8375,32.745,141.068,346.0225,579.049,697.167,668.945,451.8955,462.661,489.373,485.858,458.6585,462.613,473.719,485.5725,465.8265
MSA30,23.483,16.7485,113.9435,385.9275,799.569,768.7695,743.097,759.842,786.6325,731.0445,738.1345,753.506,757.632,697.8625,696.7675,729.5825
PD1,15.1805,15.361,16.2545,17.376,17.381,18.2165,17.6435,18.0685,20.4215,71.4575,260.0805,1032.171,3924.455,4046.465,3459.42,3540.593
PD2,14.887,14.446,15.7775,16.4555,16.6855,16.5025,16.155,16.5115,16.4705,17.585,1798.146,2076.481,2119.743,3548.375,3786.024,3756.327
PD3,16.6655,16.5785,25.6545,2040.793,2218.3,2197.225,1883.223,3845.769,3989.055,3903.414,3749.579,3809.883,3948.113,3786.303,3509.763,3471.084
PD4,15.58,14.7175,16.077,16.3545,17.1865,21.9595,158.1315,990.0785,2044.772,2642.049,2812.866,2421.323,2631.827,2258.712,2354.39,2343.767
PD5,17.818,17.257,18.1695,19.6475,23.236,34.358,106.536,2060.874,2044.526,3791.357,3332.294,3294.661,3261.06,3135.292,3166.587,3079.926
PD6,17.788,17.3285,19.09,20.945,21.8235,20.4225,910.348,2095.479,1869,2523.225,3343.219,3958.348,4101.246,3270.501,3031.406,3062.899
PD7,16.7155,16.1715,16.4375,18.4085,18.6325,18.579,18.1585,19.1465,18.8555,47.0725,1906.158,3353.614,3626.34,3616.102,3350.878,3249.54
PD8,14.5065,14.58,15.7175,17.2955,17.9855,17.454,17.5625,18.07,17.7055,18.4565,234.1605,1717.521,2774.108,2774.968,2908.774,2852.952
PD9,13.845,14.7975,15.376,15.239,16.479,16.983,16.139,15.928,108.201,376.728,1860.472,2660.587,2774.532,3100.2,2794.877,2651.51
PD10,14.549,15.45,15.6465,16.395,17.1105,17.2935,17.3035,17.132,17.7445,18.408,17.243,53.798,237.088,943.969,2106.679,3074.99
PD11,14.8425,15.9995,16.3245,16.993,17.5195,18.4175,17.9485,157.492,781.1795,2883.598,3759.956,3216.857,2859.971,3753.636,3074.19,2984.301
PD12,16.2125,16.313,17.595,18.508,19.0995,19.6985,19.5685,68.1955,2086.496,3173.895,3586.632,3247.122,3226.279,3598.66,2831.878,2862.316
PD13,16.0585,16.071,16.8335,16.9875,17.695,19.0755,18.715,20.398,185.025,2124.123,3304.405,3335.93,3314.204,3387.899,2998.469,3031.341
PD14,16.715,16.579,17.409,17.2315,18.844,19.251,19.6035,18.6515,118.713,1437.859,3672.577,3177.792,2966.828,3900.593,3083.296,2903.144
PD15,16.3535,17.5085,17.397,18.165,19.1815,20.3155,20.2265,19.63,269.9555,1602.066,3665.94,3520.135,3775.718,3438.602,2972.879,2823.325
PD16,14.344,15.1175,16.1355,17.6565,16.784,16.649,17.0815,16.8705,270.1185,2010.014,4375.427,4700.663,4162.345,4072.449,3566.153,3783.418
PD17,14.7235,15.185,16.577,17.343,16.6565,17.5835,17.265,16.4435,16.9245,17.7605,18.4915,98.4775,1952.244,2303.398,2567.103,3306.112
PD18,13.659,14.6675,15.913,16.476,16.177,17.091,17.308,121.3545,769.794,2203.96,4033.529,3747.663,3484.631,3792.519,3516.695,3357.502
PD19,16.0625,16.8225,18.7995,17.5715,18.0045,20.132,25.5575,32.16,2053.007,2623.079,3864.334,3545.249,3264.313,3355.901,3375.665,3306.198
PD20,16.7825,17.881,19.7505,20.0785,18.5935,21.639,2265.75,2051.223,1946.281,3755.234,3922.82,3649.438,3454.738,3726.58,3758.129,3754.654
PD21,16.7265,17.4745,19.506,19.9145,18.9915,23.9735,481.9415,2332.212,2121.717,3835.997,3848.287,3480.266,3142.681,3161.944,2947.285,3004.353
PD22,15.4465,16.19,17.852,18.7125,17.753,18.85,19.543,84.3485,246.042,1224.031,3056.277,4654.832,4446.917,5160.769,5104.563,5243.057
PD23,14.4475,16.076,17.124,17.703,17.547,18.8895,19.193,18.4125,17.733,139.61,3758.687,3992.11,3545.165,3718.542,3665.155,3651.668
PD24,14.081,13.542,14.7265,18.5945,23.4685,24.765,30.512,89.723,195.51,4024.43,3758.452,4188.128,3820.308,3999.888,3560.521,3743.641
PD25,12.7925,13.5415,15.6755,22.662,15.9035,259.727,2435.055,2305.385,2347.592,2429.594,2707.021,2897.729,3956.673,4947.882,5091.225,5261.083
PD26,13.946,14.147,16.2455,17.034,16.779,16.892,17.162,17.088,40.563,1594.282,2808.31,3721.987,3797.421,3717.543,3567.601,3692.369
PD27,16.788,16.4305,18.319,18.562,39.323,87.266,455.3335,1138.797,2463.435,3230.924,3627.282,3777.494,3668.673,3522.881,3507.243,3923.594
PD28,15.0585,14.893,16.66,16.8115,17.781,16.726,169.812,496.8395,729.6265,1501.14,1639.054,1721.926,1622.376,1648.663,1591.397,1904.954
PD29,15.221,15.0285,17.3535,17.4195,17.569,40.8465,130.017,270.8795,392.003,787.102,2256.765,2327.032,2558.635,2155.757,1852.347,2094.187
