content_replicate,TimeToThreshold,RAF,MPR,MS
121Gx01_2,0.0,0.0,1.284013605,35.0
121G_3,0.0,0.0,2.145238095,48.0
121Gx01_3,0.0,0.0,1.215361446,34.0
121G_4,0.0,0.0,2.337620579,28.0
121Gx01_4,39.0,0.025641026,4.216393443,400.75
121G_5,42.0,0.023809524,23.99375,1808.0
121Gx01_5,33.75,0.02962963,4.644781145,444.0
121G_6,0.0,0.0,2.645367412,12.5
121Gx01_6,0.0,0.0,1.269607843,29.0
121G_7,24.75,0.04040404,40.64935065,3014.5
121Gx01_7,0.0,0.0,1.258169935,31.25
121G_8,22.5,0.044444444,32.41246291,2596.0
121Gx01_8,45.75,0.021857923,2.663585952,191.75
152G_1,0.0,0.0,1.312,19.0
152Gx01_1,0.0,0.0,1.588477366,4.5
157G_1,0.0,0.0,1.776923077,10.25
157Gx01_1,41.25,0.024242424,14.901566,1308.25
158G_1,0.0,0.0,1.563888889,12.75
158Gx01_1,0.0,0.0,1.528017241,8.0
152G_2,0.0,0.0,1.271559633,30.5
152Gx01_2,22.5,0.044444444,11.41779497,1194.5
157G_2,44.25,0.02259887,11.99717514,935.75
157Gx01_2,45.75,0.021857923,4.208171206,410.0
158G_2,0.0,0.0,1.693877551,45.75
158Gx01_2,0.0,0.0,1.513409962,14.5
152G_3,0.0,0.0,1.244122966,31.75
152Gx01_3,0.0,0.0,1.643129771,12.25
157G_3,0.0,0.0,1.62601626,32.0
157Gx01_3,0.0,0.0,1.544230769,11.75
158G_3,30.0,0.033333333,5.877990431,315.25
158Gx01_3,40.5,0.024691358,10.27058824,1163.5
152G_4,0.0,0.0,1.222797927,25.0
152Gx01_4,22.5,0.044444444,8.714285714,1009.5
157G_4,0.0,0.0,1.632432432,35.75
157Gx01_4,0.0,0.0,1.536764706,11.0
158G_4,27.75,0.036036036,4.276255708,119.75
158Gx01_4,0.0,0.0,1.533980583,13.25
152G_5,0.0,0.0,1.256993007,30.0
152Gx01_5,0.0,0.0,1.55904059,9.5
157G_5,0.0,0.0,1.616402116,33.75
157Gx01_5,0.0,0.0,1.464814815,12.0
158G_5,0.0,0.0,1.581395349,46.5
158Gx01_5,0.0,0.0,1.49726776,17.5
152G_6,0.0,0.0,1.203832753,32.75
152Gx01_6,16.5,0.060606061,11.53831418,1256.75
157G_6,0.0,0.0,1.536764706,26.75
157Gx01_6,30.0,0.033333333,6.102,619.75
158G_6,0.0,0.0,1.57208238,42.5
158Gx01_6,45.75,0.021857923,4.414979757,383.0
152G_7,0.0,0.0,1.208112875,28.25
152Gx01_7,31.5,0.031746032,7.44924812,699.75
157G_7,45.75,0.021857923,6.569518717,475.75
157Gx01_7,0.0,0.0,1.526422764,9.75
158G_7,0.0,0.0,1.573459716,47.25
158Gx01_7,35.25,0.028368794,5.329959514,511.0
152G_8,45.75,0.021857923,2.939759036,279.5
152Gx01_8,0.0,0.0,1.419117647,16.0
157G_8,38.25,0.026143791,8.308333333,590.0
157Gx01_8,25.5,0.039215686,6.178308824,695.25
158G_8,0.0,0.0,1.677725118,52.0
158Gx01_8,35.25,0.028368794,4.489871087,386.25
205G_1,0.0,0.0,1.618834081,38.25
205Gx01_1,0.0,0.0,1.412451362,16.25
206G_1,38.25,0.026143791,7.61637931,382.0
206Gx01_1,0.0,0.0,1.5,9.5
205G_2,43.5,0.022988506,6.593023256,367.25
205Gx01_2,0.0,0.0,1.562043796,12.5
206G_2,0.0,0.0,1.082352941,20.5
206Gx01_2,0.0,0.0,1.518248175,10.25
205G_3,45.75,0.021857923,4.247232472,231.25
205Gx01_3,0.0,0.0,1.425087108,10.75
206G_3,0.0,0.0,1.095057034,19.25
206Gx01_3,0.0,0.0,1.41,15.5
205G_4,38.25,0.026143791,7.203846154,408.75
205Gx01_4,0.0,0.0,1.474916388,17.75
206G_4,21.0,0.047619048,7.365591398,453.25
206Gx01_4,0.0,0.0,1.552884615,7.5
205G_5,0.0,0.0,1.108695652,19.25
205Gx01_5,0.0,0.0,1.425170068,12.25
206G_5,0.0,0.0,1.032258065,22.25
206Gx01_5,0.0,0.0,1.397993311,11.5
205G_6,31.5,0.031746032,6.442857143,390.0
205Gx01_6,44.25,0.02259887,4.516447368,268.0
206G_6,42.0,0.023809524,4.944636678,297.25
206Gx01_6,0.0,0.0,1.381877023,17.0
205G_7,0.0,0.0,1.083969466,17.5
205Gx01_7,0.0,0.0,1.350649351,16.5
206G_7,33.0,0.03030303,5.676056338,321.0
206Gx01_7,0.0,0.0,1.383333333,12.0
205G_8,27.0,0.037037037,7.072916667,404.75
205Gx01_8,9.0,0.111111111,17.27819549,921.5
206G_8,36.75,0.027210884,5.205776173,279.75
