content_replicate,TimeToThreshold,RAF,MPR,MS
22P.-2_2,0,0,1.097222222,5.833333333
22P.-3_2,0,0,1.108294931,4.666666667
blank_3-20221110_M2,0,0,1.100938967,4.333333333
neg_3-20221110_M2,0,0,1.099489796,5
pos_3-20221110_M2,15,0.066666667,17.46633416,1097
20P.-1_3,0,0,1.157142857,4.666666667
20P.-2_3,0,0,1.142857143,5.5
20P.-3_3,15.75,0.063492063,10.73349057,639.1666667
21P.-1_3,18.75,0.053333333,14.8345679,833.8333333
21P.-2_3,22.5,0.044444444,12.78846154,814.5
21P.-3_3,0,0,1.077102804,3.666666667
22P.-1_3,22.5,0.044444444,11.57614213,690.5
22P.-2_3,0,0,1.101941748,5.166666667
22P.-3_3,0,0,1.091743119,3.5
blank_4-20221110_M2,0,0,1.114558473,5.333333333
neg_4-20221110_M2,0,0,1.106965174,4.833333333
pos_4-20221110_M2,13.5,0.074074074,16.49627792,992.5
20P.-1_4,0,0,1.239808153,10.5
20P.-2_4,0,0,1.103117506,3.666666667
20P.-3_4,17.25,0.057971014,11.05365854,637.6666667
21P.-1_4,25.5,0.039215686,17.88664987,1073
21P.-2_4,20.25,0.049382716,11.89448441,746.3333333
21P.-3_4,0,0,1.171837709,7.333333333
22P.-1_4,13.5,0.074074074,40.96954315,1554.166667
22P.-2_4,0,0,1.174129353,5
22P.-3_4,0,0,1.102739726,4.333333333
blank_5-20221110_M2,0,0,1.1264637,6.666666667
neg_5-20221110_M2,0,0,1.172069825,12.33333333
pos_5-20221110_M2,20.25,0.049382716,13.86010363,776.6666667
24P.-1_1,44.25,0.02259887,19.643026,1309.5
24P.-2_1,0,0,1.163170163,6.333333333
24P.-3_1,0,0,1.101415094,6.333333333
26P.-1_1,0,0,1.175903614,7.333333333
26P.-2_1,0,0,1.162037037,7.333333333
26P.-3_1,0,0,1.014150943,2
28P.-1_1,0,0,1.193154034,8.333333333
28P.-2_1,0,0,1.150717703,6.333333333
28P.-3_1,0,0,1.194244604,6.833333333
blank_6-20221110_M2,0,0,1.134474328,3.5
neg_6-20221110_M2,0,0,1.167088608,6.833333333
pos_6-20221110_M2,12,0.083333333,20.48854962,1245
24P.-1_2,0,0,1.196261682,7
24P.-2_2,0,0,1.1575179,9.333333333
24P.-3_2,0,0,1.192857143,8
26P.-1_2,0,0,1.142528736,8
26P.-2_2,0,0,1.197149644,7.666666667
26P.-3_2,0,0,1.164677804,6
28P.-1_2,0,0,1.124716553,8.166666667
28P.-2_2,0,0,1.067915691,4.833333333
28P.-3_2,0,0,1.464891041,28.66666667
blank_7-20221110_M2,0,0,1.167048055,6.666666667
neg_7-20221110_M2,0,0,1.110849057,6.5
pos_7-20221110_M2,10.5,0.095238095,18.12469438,1119.833333
24P.-1_3,21,0.047619048,31.15280899,2233.833333
24P.-2_3,33,0.03030303,12.34703196,782.6666667
24P.-3_3,0,0,1.096412556,7.5
26P.-1_3,0,0,1.116113744,6
26P.-2_3,0,0,1.076190476,4.5
26P.-3_3,0,0,1.141148325,4.666666667
