"","well","content","replicate","content_replicate","format","plate_ID","instrument","phase","final"
"20221110_M3.36","C12","14P.-3",3,"14P.-3_3",96,"20221110_M3","M3","P","0"
"20221110_M3.37","D01","blank",4,"blank_4-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.38","D02","neg",4,"neg_4-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.39","D03","pos",4,"pos_4-20221110_M2",96,"20221110_M3","M3","P","2"
"20221110_M3.40","D04","10P.-1",4,"10P.-1_4",96,"20221110_M3","M3","P","0"
"20221110_M3.41","D05","10P.-2",4,"10P.-2_4",96,"20221110_M3","M3","P","0"
"20221110_M3.42","D06","10P.-3",4,"10P.-3_4",96,"20221110_M3","M3","P","0"
"20221110_M3.43","D07","12P.-1",4,"12P.-1_4",96,"20221110_M3","M3","P","0"
"20221110_M3.44","D08","12P.-2",4,"12P.-2_4",96,"20221110_M3","M3","P","0"
"20221110_M3.45","D09","12P.-3",4,"12P.-3_4",96,"20221110_M3","M3","P","0"
"20221110_M3.46","D10","14P.-1",4,"14P.-1_4",96,"20221110_M3","M3","P","0"
"20221110_M3.47","D11","14P.-2",4,"14P.-2_4",96,"20221110_M3","M3","P","0"
"20221110_M3.48","D12","14P.-3",4,"14P.-3_4",96,"20221110_M3","M3","P","0"
"20221110_M3.49","E01","blank",5,"blank_5-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.50","E02","neg",5,"neg_5-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.51","E03","pos",5,"pos_5-20221110_M2",96,"20221110_M3","M3","P","2"
"20221110_M3.52","E04","16P.-1",1,"16P.-1_1",96,"20221110_M3","M3","P","0"
"20221110_M3.53","E05","16P.-2",1,"16P.-2_1",96,"20221110_M3","M3","P","0"
"20221110_M3.54","E06","16P.-3",1,"16P.-3_1",96,"20221110_M3","M3","P","0"
"20221110_M3.55","E07","17P.-1",1,"17P.-1_1",96,"20221110_M3","M3","P","0"
"20221110_M3.56","E08","17P.-2",1,"17P.-2_1",96,"20221110_M3","M3","P","0"
"20221110_M3.57","E09","17P.-3",1,"17P.-3_1",96,"20221110_M3","M3","P","0"
"20221110_M3.58","E10","18P.-1",1,"18P.-1_1",96,"20221110_M3","M3","P","0"
"20221110_M3.59","E11","18P.-2",1,"18P.-2_1",96,"20221110_M3","M3","P","0"
"20221110_M3.60","E12","18P.-3",1,"18P.-3_1",96,"20221110_M3","M3","P","0"
"20221110_M3.61","F01","blank",6,"blank_6-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.62","F02","neg",6,"neg_6-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.63","F03","pos",6,"pos_6-20221110_M2",96,"20221110_M3","M3","P","2"
"20221110_M3.64","G01","blank",7,"blank_7-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.65","G02","neg",7,"neg_7-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.66","G03","pos",7,"pos_7-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.67","G04","16P.-1",2,"16P.-1_2",96,"20221110_M3","M3","P","0"
"20221110_M3.68","G05","16P.-2",2,"16P.-2_2",96,"20221110_M3","M3","P","0"
"20221110_M3.69","G06","16P.-3",2,"16P.-3_2",96,"20221110_M3","M3","P","0"
"20221110_M3.70","G07","17P.-1",2,"17P.-1_2",96,"20221110_M3","M3","P","0"
"20221110_M3.71","G08","17P.-2",2,"17P.-2_2",96,"20221110_M3","M3","P","0"
"20221110_M3.72","G09","17P.-3",2,"17P.-3_2",96,"20221110_M3","M3","P","0"
"20221110_M3.73","G10","18P.-1",2,"18P.-1_2",96,"20221110_M3","M3","P","0"
"20221110_M3.74","G11","18P.-2",2,"18P.-2_2",96,"20221110_M3","M3","P","0"
"20221110_M3.75","G12","18P.-3",2,"18P.-3_2",96,"20221110_M3","M3","P","0"
"20221110_M3.76","H01","blank",8,"blank_8-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.77","H02","neg",8,"neg_8-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.78","H03","pos",8,"pos_8-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.79","H04","16P.-1",3,"16P.-1_3",96,"20221110_M3","M3","P","0"
"20221110_M3.80","H05","16P.-2",3,"16P.-2_3",96,"20221110_M3","M3","P","0"
"20221110_M3.81","H06","16P.-3",3,"16P.-3_3",96,"20221110_M3","M3","P","0"
"20221110_M3.82","H07","17P.-1",3,"17P.-1_3",96,"20221110_M3","M3","P","0"
"20221110_M3.83","H08","17P.-2",3,"17P.-2_3",96,"20221110_M3","M3","P","0"
"20221110_M3.84","H09","17P.-3",3,"17P.-3_3",96,"20221110_M3","M3","P","0"
"20221110_M3.85","H10","18P.-1",3,"18P.-1_3",96,"20221110_M3","M3","P","0"
