Sample,x01,x02,x03,final,NumberOfReplicates
96GC,-,-,NA,0,4
97GC,-,-,NA,0,4
98GC,-,-,NA,0,4
99GC,-,-,NA,0,4
100GC,-,-,NA,0,4
101GC,-,-,NA,0,4
102GC,RAF,-,NA,0,4
103GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
104GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
105GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
61GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
62GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
63GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
67GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
68GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
69GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
73GC,-,-,NA,0,4
74GC,-,MPR;MS,NA,0,4
75GC,MPR;MS,MPR;MS,NA,0,4
79GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
115GC,-,-,NA,0,4
116GC,-,-,NA,0,4
117GC,-,-,NA,0,4
121GC,-,-,NA,0,4
122GC,-,RAF;MPR;MS,NA,1,4
123GC,-,RAF;MPR;MS,NA,1,4
127GC,-,-,NA,0,4
128GC,MS,RAF;MPR;MS,NA,1,4
129GC,-,-,NA,0,4
43G,MPR,-,NA,0,8
44G,MPR,-,NA,0,8
45G,MPR;MS,MS,NA,0,8
49G,RAF,-,NA,1,8
50G,MS,MS,NA,0,8
51G,-,-,NA,0,8
55G,MPR,-,NA,0,8
56G,-,MPR,NA,0,8
57G,RAF;MPR;MS,MPR;MS,NA,1,8
61G,RAF;MPR;MS,MPR;MS,NA,1,8
1G,-,-,NA,0,8
2G,-,-,NA,0,8
3G,MPR,-,NA,0,8
7G,-,-,NA,0,8
8G,MPR,MS,NA,0,8
9G,MPR;MS,-,NA,0,8
13G,MPR;MS,-,NA,0,8
14G,MPR;MS,MPR;MS,NA,1,8
15G,RAF;MPR;MS,MPR;MS,NA,1,8
19G,MPR;MS,MPR;MS,NA,0,8
21G,MPR;MS,-,NA,0,8
25G,-,-,NA,0,8
26G,-,-,NA,0,8
27G,-,-,NA,0,8
31G,RAF;MPR;MS,-,NA,1,8
32G,-,-,NA,0,8
33G,-,-,NA,0,8
37G,-,-,NA,0,8
